Fund,Country,Percent,Date,SEDOL
Aberdeen All Asia,India,10,31/01/2007,392075
Aberdeen All Asia,UK,3,31/01/2007,392075
Aberdeen All Asia,Australia,4,31/01/2007,392075
Aberdeen All Asia,China,5,31/01/2007,392075
Aberdeen All Asia,Hong Kong,12,31/01/2007,392075
Aberdeen All Asia,Japan,25,31/01/2007,392075
Aberdeen All Asia,Malaysia,4,31/01/2007,392075
Aberdeen All Asia,Philippines,2,31/01/2007,392075
Aberdeen All Asia,Singapore,14,31/01/2007,392075
Aberdeen All Asia,South Korea,11,31/01/2007,392075
Aberdeen All Asia,Taiwan,6,31/01/2007,392075
Aberdeen All Asia,Thailand,3,31/01/2007,392075
Aberdeen All Asia,Cash & Fixed Interest,1,31/01/2007,392075
Aberdeen Asian Income,New Zealand,3,31/01/2007,B0P6J83
Aberdeen Asian Income,Australia,16,31/01/2007,B0P6J83
Aberdeen Asian Income,China,3,31/01/2007,B0P6J83
Aberdeen Asian Income,Hong Kong,9,31/01/2007,B0P6J83
Aberdeen Asian Income,Indonesia,3,31/01/2007,B0P6J83
Aberdeen Asian Income,Malaysia,18,31/01/2007,B0P6J83
Aberdeen Asian Income,Philippines,2,31/01/2007,B0P6J83
Aberdeen Asian Income,Singapore,19,31/01/2007,B0P6J83
Aberdeen Asian Income,Taiwan,11,31/01/2007,B0P6J83
Aberdeen Asian Income,Thailand,11,31/01/2007,B0P6J83
Aberdeen Asian Income,Cash & Fixed Interest,5,31/01/2007,B0P6J83
Aberdeen Asian Smaller Companies,India,11,31/01/2007,10076
Aberdeen Asian Smaller Companies,Pakistan,1,31/01/2007,10076
Aberdeen Asian Smaller Companies,Sri Lanka,6,31/01/2007,10076
Aberdeen Asian Smaller Companies,UK,3,31/01/2007,10076
Aberdeen Asian Smaller Companies,Hong Kong,16,31/01/2007,10076
Aberdeen Asian Smaller Companies,Indonesia,6,31/01/2007,10076
Aberdeen Asian Smaller Companies,Malaysia,13,31/01/2007,10076
Aberdeen Asian Smaller Companies,Philippines,5,31/01/2007,10076
Aberdeen Asian Smaller Companies,Singapore,19,31/01/2007,10076
Aberdeen Asian Smaller Companies,South Korea,8,31/01/2007,10076
Aberdeen Asian Smaller Companies,Thailand,10,31/01/2007,10076
Aberdeen Asian Smaller Companies,Cash & Fixed Interest,2,31/01/2007,10076
Aberdeen Development Capital,UK,82,31/01/2007,735250
Aberdeen Development Capital,Cash & Fixed Interest,18,31/01/2007,735250
Aberdeen Development Capital ZDP Unit,Not reported,,,
Aberdeen Growth Opportunities VCT,Not reported,,,
Aberdeen Growth Opportunities VCT 2,Not reported,,,
Aberdeen Growth Opportunities VCT C shares,Not reported,,,
Aberdeen Growth VCT I,Not reported,,,
Aberdeen New Dawn,India,13,31/01/2007,5685
Aberdeen New Dawn,Sri Lanka,2,31/01/2007,5685
Aberdeen New Dawn,UK,7,31/01/2007,5685
Aberdeen New Dawn,Australia,6,31/01/2007,5685
Aberdeen New Dawn,China,7,31/01/2007,5685
Aberdeen New Dawn,Hong Kong,16,31/01/2007,5685
Aberdeen New Dawn,Indonesia,2,31/01/2007,5685
Aberdeen New Dawn,Malaysia,4,31/01/2007,5685
Aberdeen New Dawn,Philippines,3,31/01/2007,5685
Aberdeen New Dawn,Singapore,17,31/01/2007,5685
Aberdeen New Dawn,South Korea,13,31/01/2007,5685
Aberdeen New Dawn,Taiwan,6,31/01/2007,5685
Aberdeen New Dawn,Thailand,5,31/01/2007,5685
Aberdeen New Dawn,Cash & Fixed Interest,-1,31/01/2007,5685
Aberdeen New Thai,Thailand,103,31/01/2007,5997
Aberdeen New Thai,Cash & Fixed Interest,-3,31/01/2007,5997
Aberforth Geared Capital & Income,UK,102,31/01/2007,3110014
Aberforth Geared Capital & Income,Cash & Fixed Interest,-2,31/01/2007,3110014
Aberforth Smaller Companies,UK,99,31/01/2007,6655
Aberforth Smaller Companies,Cash & Fixed Interest,1,31/01/2007,6655
Absolute Return Trust,Not reported,,,
AcenciA Debt Strategies,Not reported,,,
Active Capital,UK,97,31/01/2007,3038332
Active Capital,Cash & Fixed Interest,3,31/01/2007,3038332
Advance Developing Markets,South Africa,5,31/01/2007,167499
Advance Developing Markets,India,6,31/01/2007,167499
Advance Developing Markets,European Emerging,7,31/01/2007,167499
Advance Developing Markets,Hungary,1,31/01/2007,167499
Advance Developing Markets,Poland,1,31/01/2007,167499
Advance Developing Markets,Russia,15,31/01/2007,167499
Advance Developing Markets,Turkey,3,31/01/2007,167499
Advance Developing Markets,China,7,31/01/2007,167499
Advance Developing Markets,Far East & Pacific Region,5,31/01/2007,167499
Advance Developing Markets,Hong Kong,2,31/01/2007,167499
Advance Developing Markets,Malaysia,2,31/01/2007,167499
Advance Developing Markets,Philippines,2,31/01/2007,167499
Advance Developing Markets,Singapore,1,31/01/2007,167499
Advance Developing Markets,South Korea,11,31/01/2007,167499
Advance Developing Markets,Taiwan,7,31/01/2007,167499
Advance Developing Markets,Thailand,1,31/01/2007,167499
Advance Developing Markets,Argentina,1,31/01/2007,167499
Advance Developing Markets,Brazil,12,31/01/2007,167499
Advance Developing Markets,Chile,1,31/01/2007,167499
Advance Developing Markets,Latin America Region,1,31/01/2007,167499
Advance Developing Markets,Mexico,4,31/01/2007,167499
Advance Developing Markets,Cash & Fixed Interest,5,31/01/2007,167499
Advance UK,Not reported,,,
AIM Distribution Trust VCT,Not reported,,,
AIM VCT,UK,94,31/01/2007,448451
AIM VCT,Cash & Fixed Interest,6,31/01/2007,448451
AIM VCT 2,UK,97,31/01/2007,205753
AIM VCT 2,Cash & Fixed Interest,3,31/01/2007,205753
AIM VCT 2 C shares,UK,47,31/01/2007,B0PKQN9
AIM VCT 2 C shares,Cash & Fixed Interest,53,31/01/2007,B0PKQN9
Albany,Italy,2,31/01/2007,12102
Albany,Switzerland,2,31/01/2007,12102
Albany,UK,93,31/01/2007,12102
Albany,Australia,2,31/01/2007,12102
Albany,Cash & Fixed Interest,1,31/01/2007,12102
Alliance Trust,France,3,31/01/2007,B11V7W9
Alliance Trust,Germany,3,31/01/2007,B11V7W9
Alliance Trust,Italy,1,31/01/2007,B11V7W9
Alliance Trust,Netherlands,2,31/01/2007,B11V7W9
Alliance Trust,Spain,1,31/01/2007,B11V7W9
Alliance Trust,Sweden,1,31/01/2007,B11V7W9
Alliance Trust,Switzerland,3,31/01/2007,B11V7W9
Alliance Trust,UK,55,31/01/2007,B11V7W9
Alliance Trust,Australia,1,31/01/2007,B11V7W9
Alliance Trust,Hong Kong,2,31/01/2007,B11V7W9
Alliance Trust,Japan,7,31/01/2007,B11V7W9
Alliance Trust,Singapore,1,31/01/2007,B11V7W9
Alliance Trust,Taiwan,1,31/01/2007,B11V7W9
Alliance Trust,Canada,1,31/01/2007,B11V7W9
Alliance Trust,USA,11,31/01/2007,B11V7W9
Alliance Trust,Cash & Fixed Interest,7,31/01/2007,B11V7W9
Allianz Dresdner Endowment Policy 2010,Not reported,,,
Allianz Dresdner Second Endowment 2009,Not reported,,,
Alternative Investment Strategies,Not reported,,,
Anglo & Overseas,Turkey,1,31/01/2007,B0BZVZ5
Anglo & Overseas,Belgium,2,31/01/2007,B0BZVZ5
Anglo & Overseas,France,4,31/01/2007,B0BZVZ5
Anglo & Overseas,Germany,7,31/01/2007,B0BZVZ5
Anglo & Overseas,Ireland,1,31/01/2007,B0BZVZ5
Anglo & Overseas,Italy,1,31/01/2007,B0BZVZ5
Anglo & Overseas,Netherlands,5,31/01/2007,B0BZVZ5
Anglo & Overseas,Portugal,1,31/01/2007,B0BZVZ5
Anglo & Overseas,Spain,1,31/01/2007,B0BZVZ5
Anglo & Overseas,Switzerland,4,31/01/2007,B0BZVZ5
Anglo & Overseas,UK,52,31/01/2007,B0BZVZ5
Anglo & Overseas,Japan,5,31/01/2007,B0BZVZ5
Anglo & Overseas,Philippines,1,31/01/2007,B0BZVZ5
Anglo & Overseas,USA,12,31/01/2007,B0BZVZ5
Anglo & Overseas,Cash & Fixed Interest,3,31/01/2007,B0BZVZ5
Artemis AIM VCT,UK,97,31/01/2007,3016703
Artemis AIM VCT,Canada,1,31/01/2007,3016703
Artemis AIM VCT,Cash & Fixed Interest,2,31/01/2007,3016703
Artemis AIM VCT 2,UK,86,31/01/2007,B02WQ94
Artemis AIM VCT 2,Cash & Fixed Interest,14,31/01/2007,B02WQ94
Artemis Alpha,Denmark,2,31/01/2007,435594
Artemis Alpha,Ireland,1,31/01/2007,435594
Artemis Alpha,Norway,4,31/01/2007,435594
Artemis Alpha,UK,77,31/01/2007,435594
Artemis Alpha,Australia,3,31/01/2007,435594
Artemis Alpha,Bermuda,2,31/01/2007,435594
Artemis Alpha,Canada,7,31/01/2007,435594
Artemis Alpha,USA,6,31/01/2007,435594
Artemis Alpha,Cash & Fixed Interest,-2,31/01/2007,435594
Asset Management,Luxembourg,25,31/01/2007,58065
Asset Management,UK,33,31/01/2007,58065
Asset Management,USA,35,31/01/2007,58065
Asset Management,Cash & Fixed Interest,7,31/01/2007,58065
Atlantis Japan Growth,Not reported,,,
August Equity,Not reported,,,
Aurora,Ireland,11,31/01/2007,63326
Aurora,UK,83,31/01/2007,63326
Aurora,Cash & Fixed Interest,6,31/01/2007,63326
Baillie Gifford Japan,Japan,96,31/01/2007,48583
Baillie Gifford Japan,Cash & Fixed Interest,4,31/01/2007,48583
Baillie Gifford Shin Nippon,Japan,99,31/01/2007,70627
Baillie Gifford Shin Nippon,Cash & Fixed Interest,1,31/01/2007,70627
Bankers,South Africa,2,31/01/2007,76700
Bankers,France,5,31/01/2007,76700
Bankers,Germany,3,31/01/2007,76700
Bankers,Ireland,2,31/01/2007,76700
Bankers,Italy,1,31/01/2007,76700
Bankers,Netherlands,1,31/01/2007,76700
Bankers,Spain,1,31/01/2007,76700
Bankers,Switzerland,4,31/01/2007,76700
Bankers,UK,54,31/01/2007,76700
Bankers,Australia,1,31/01/2007,76700
Bankers,Hong Kong,2,31/01/2007,76700
Bankers,Japan,8,31/01/2007,76700
Bankers,Singapore,1,31/01/2007,76700
Bankers,South Korea,1,31/01/2007,76700
Bankers,Taiwan,1,31/01/2007,76700
Bankers,Brazil,1,31/01/2007,76700
Bankers,Canada,1,31/01/2007,76700
Bankers,USA,11,31/01/2007,76700
Bankers,Cash & Fixed Interest,0,31/01/2007,76700
Baring Emerging Europe,Czech Republic,6,31/01/2007,3227334
Baring Emerging Europe,Hungary,12,31/01/2007,3227334
Baring Emerging Europe,Kazakhstan,2,31/01/2007,3227334
Baring Emerging Europe,Poland,12,31/01/2007,3227334
Baring Emerging Europe,Russia,57,31/01/2007,3227334
Baring Emerging Europe,Turkey,7,31/01/2007,3227334
Baring Emerging Europe,Austria,1,31/01/2007,3227334
Baring Emerging Europe,Cash & Fixed Interest,3,31/01/2007,3227334
Baronsmead AIM VCT,UK,32,31/01/2007,B0YZHK9
Baronsmead AIM VCT,Cash & Fixed Interest,68,31/01/2007,B0YZHK9
Baronsmead VCT,Not reported,,,
Baronsmead VCT 2,Not reported,,,
Baronsmead VCT 3,Not reported,,,
Baronsmead VCT 3 C shares,Not reported,,,
Baronsmead VCT 4,Not reported,,,
Baronsmead VCT 4 C shares,Not reported,,,
Baronsmead VCT C shares,Not reported,,,
Blue Planet European Financials,Poland,19,31/01/2007,532707
Blue Planet European Financials,Russia,24,31/01/2007,532707
Blue Planet European Financials,Cyprus,4,31/01/2007,532707
Blue Planet European Financials,Denmark,1,31/01/2007,532707
Blue Planet European Financials,Greece,10,31/01/2007,532707
Blue Planet European Financials,Ireland,14,31/01/2007,532707
Blue Planet European Financials,Spain,3,31/01/2007,532707
Blue Planet European Financials,Sweden,19,31/01/2007,532707
Blue Planet European Financials,Cash & Fixed Interest,6,31/01/2007,532707
Blue Planet Financials Growth & Income,Poland,19,31/01/2007,B1B9C40
Blue Planet Financials Growth & Income,Russia,29,31/01/2007,B1B9C40
Blue Planet Financials Growth & Income,Cyprus,4,31/01/2007,B1B9C40
Blue Planet Financials Growth & Income,Denmark,2,31/01/2007,B1B9C40
Blue Planet Financials Growth & Income,Greece,10,31/01/2007,B1B9C40
Blue Planet Financials Growth & Income,Ireland,14,31/01/2007,B1B9C40
Blue Planet Financials Growth & Income,Spain,5,31/01/2007,B1B9C40
Blue Planet Financials Growth & Income,Sweden,10,31/01/2007,B1B9C40
Blue Planet Financials Growth & Income,Brazil,6,31/01/2007,B1B9C40
Blue Planet Financials Growth & Income,Cash & Fixed Interest,1,31/01/2007,B1B9C40
Blue Planet Worldwide Financials,Poland,21,31/01/2007,152417
Blue Planet Worldwide Financials,Russia,20,31/01/2007,152417
Blue Planet Worldwide Financials,Cyprus,4,31/01/2007,152417
Blue Planet Worldwide Financials,Denmark,2,31/01/2007,152417
Blue Planet Worldwide Financials,Greece,10,31/01/2007,152417
Blue Planet Worldwide Financials,Ireland,14,31/01/2007,152417
Blue Planet Worldwide Financials,Sweden,19,31/01/2007,152417
Blue Planet Worldwide Financials,Brazil,5,31/01/2007,152417
Blue Planet Worldwide Financials,Cash & Fixed Interest,5,31/01/2007,152417
British & American,Not reported,,,
British Assets,European Developed,6,31/01/2007,129756
British Assets,UK,66,31/01/2007,129756
British Assets,Far East & Pacific Region,3,31/01/2007,129756
British Assets,Japan,5,31/01/2007,129756
British Assets,Canada,1,31/01/2007,129756
British Assets,USA,9,31/01/2007,129756
British Assets,Cash & Fixed Interest,10,31/01/2007,129756
British Empire Securities & General,Hungary,1,31/01/2007,133508
British Empire Securities & General,Turkey,1,31/01/2007,133508
British Empire Securities & General,Belgium,10,31/01/2007,133508
British Empire Securities & General,France,4,31/01/2007,133508
British Empire Securities & General,Germany,1,31/01/2007,133508
British Empire Securities & General,Luxembourg,1,31/01/2007,133508
British Empire Securities & General,Netherlands,2,31/01/2007,133508
British Empire Securities & General,Sweden,7,31/01/2007,133508
British Empire Securities & General,Switzerland,1,31/01/2007,133508
British Empire Securities & General,UK,24,31/01/2007,133508
British Empire Securities & General,Australia,2,31/01/2007,133508
British Empire Securities & General,Hong Kong,7,31/01/2007,133508
British Empire Securities & General,Japan,15,31/01/2007,133508
British Empire Securities & General,Singapore,5,31/01/2007,133508
British Empire Securities & General,Canada,7,31/01/2007,133508
British Empire Securities & General,Cash & Fixed Interest,12,31/01/2007,133508
British Portfolio Trust,UK,99,31/01/2007,3096169
British Portfolio Trust,Cash & Fixed Interest,1,31/01/2007,3096169
British Smaller Companies VCT,Not reported,,,
British Smaller Companies VCT C shares,Not reported,,,
British Smaller Technology Companies VCT 2,Not reported,,,
Brunner,Finland,1,31/01/2007,149000
Brunner,France,2,31/01/2007,149000
Brunner,Germany,4,31/01/2007,149000
Brunner,Ireland,1,31/01/2007,149000
Brunner,Italy,1,31/01/2007,149000
Brunner,Netherlands,1,31/01/2007,149000
Brunner,Sweden,1,31/01/2007,149000
Brunner,Switzerland,2,31/01/2007,149000
Brunner,UK,51,31/01/2007,149000
Brunner,Australia,1,31/01/2007,149000
Brunner,Hong Kong,2,31/01/2007,149000
Brunner,Japan,5,31/01/2007,149000
Brunner,Singapore,1,31/01/2007,149000
Brunner,Brazil,1,31/01/2007,149000
Brunner,Bermuda,1,31/01/2007,149000
Brunner,Canada,1,31/01/2007,149000
Brunner,USA,14,31/01/2007,149000
Brunner,Cash & Fixed Interest,10,31/01/2007,149000
Candover,Not reported,,,
Capital Gearing,India,1,31/01/2007,173861
Capital Gearing,European Developed,3,31/01/2007,173861
Capital Gearing,UK,30,31/01/2007,173861
Capital Gearing,Far East & Pacific Region,4,31/01/2007,173861
Capital Gearing,Japan,1,31/01/2007,173861
Capital Gearing,USA,5,31/01/2007,173861
Capital Gearing,Cash & Fixed Interest,56,31/01/2007,173861
Cayenne,European Emerging,1,31/01/2007,636911
Cayenne,European Developed,14,31/01/2007,636911
Cayenne,Other Investment Cos,9,31/01/2007,636911
Cayenne,UK,45,31/01/2007,636911
Cayenne,Far East & Pacific Region,7,31/01/2007,636911
Cayenne,Japan,4,31/01/2007,636911
Cayenne,Other Latin America,3,31/01/2007,636911
Cayenne,Other North America,10,31/01/2007,636911
Cayenne,Cash & Fixed Interest,7,31/01/2007,636911
Charter European,France,22,31/01/2007,3148639
Charter European,Germany,16,31/01/2007,3148639
Charter European,Ireland,3,31/01/2007,3148639
Charter European,Italy,5,31/01/2007,3148639
Charter European,Netherlands,8,31/01/2007,3148639
Charter European,Norway,4,31/01/2007,3148639
Charter European,Spain,5,31/01/2007,3148639
Charter European,Sweden,2,31/01/2007,3148639
Charter European,Switzerland,20,31/01/2007,3148639
Charter European,UK,17,31/01/2007,3148639
Charter European,Cash & Fixed Interest,-2,31/01/2007,3148639
City Merchants High Yield,Other Investment Cos,1,31/01/2007,B0LNG76
City Merchants High Yield,UK,25,31/01/2007,B0LNG76
City Merchants High Yield,Far East & Pacific Region,2,31/01/2007,B0LNG76
City Merchants High Yield,USA,1,31/01/2007,B0LNG76
City Merchants High Yield,Cash & Fixed Interest,71,31/01/2007,B0LNG76
City of London,Italy,2,31/01/2007,199049
City of London,Netherlands,2,31/01/2007,199049
City of London,Norway,1,31/01/2007,199049
City of London,UK,96,31/01/2007,199049
City of London,Cash & Fixed Interest,-1,31/01/2007,199049
Close Brothers AIM VCT,UK,85,31/01/2007,248167
Close Brothers AIM VCT,Cash & Fixed Interest,15,31/01/2007,248167
Close Brothers AIM VCT D shares,UK,55,31/01/2007,3420207
Close Brothers AIM VCT D shares,Cash & Fixed Interest,45,31/01/2007,3420207
Close Brothers Development VCT,Not reported,,,
Close Brothers Development VCT C shares,Not reported,,,
Close Brothers Protected VCT,Not reported,,,
Close Brothers VCT,Not reported,,,
Close Finsbury EuroTech,Belgium,1,31/01/2007,958477
Close Finsbury EuroTech,France,5,31/01/2007,958477
Close Finsbury EuroTech,Germany,2,31/01/2007,958477
Close Finsbury EuroTech,Ireland,2,31/01/2007,958477
Close Finsbury EuroTech,Netherlands,2,31/01/2007,958477
Close Finsbury EuroTech,Norway,4,31/01/2007,958477
Close Finsbury EuroTech,UK,31,31/01/2007,958477
Close Finsbury EuroTech,Israel,2,31/01/2007,958477
Close Finsbury EuroTech,Cash & Fixed Interest,51,31/01/2007,958477
Close IHT AIM VCT A,UK,34,31/01/2007,B0JQZZ8
Close IHT AIM VCT A,Cash & Fixed Interest,66,31/01/2007,B0JQZZ8
Close IHT AIM VCT B,UK,34,31/01/2007,B0JR9G0
Close IHT AIM VCT B,Cash & Fixed Interest,66,31/01/2007,B0JR9G0
Close Income & Growth VCT,Not reported,,,
Close Second AIM VCT,UK,89,31/01/2007,3019627
Close Second AIM VCT,Cash & Fixed Interest,11,31/01/2007,3019627
Close Second AIM VCT C shares,UK,81,31/01/2007,B0RFCD4
Close Second AIM VCT C shares,Cash & Fixed Interest,19,31/01/2007,B0RFCD4
Close Second AIM VCT D shares,UK,81,31/01/2007,B0RFCM3
Close Second AIM VCT D shares,Cash & Fixed Interest,19,31/01/2007,B0RFCM3
Close Technology & General VCT,Not reported,,,
Close Technology & General VCT C shares,Not reported,,,
Core VCT 1,Not reported,,,
Core VCT 1 B shares,Not reported,,,
Core VCT II,Not reported,,,
Core VCT II B shares,Not reported,,,
Core VCT III,Not reported,,,
Core VCT III B shares,Not reported,,,
Crown Place VCT,Not reported,,,
Downing Protected VCT I,Not reported,,,
Dunedin Enterprise,Not reported,,,
Dunedin Income Growth,France,1,31/01/2007,340609
Dunedin Income Growth,Italy,2,31/01/2007,340609
Dunedin Income Growth,UK,99,31/01/2007,340609
Dunedin Income Growth,Cash & Fixed Interest,-2,31/01/2007,340609
Dunedin Smaller Companies,UK,96,31/01/2007,B1GCL25
Dunedin Smaller Companies,Cash & Fixed Interest,4,31/01/2007,B1GCL25
Eastern European,Bulgaria,1,31/01/2007,B0BN1P9
Eastern European,Czech Republic,3,31/01/2007,B0BN1P9
Eastern European,Hungary,6,31/01/2007,B0BN1P9
Eastern European,Kazakhstan,5,31/01/2007,B0BN1P9
Eastern European,Latvia,1,31/01/2007,B0BN1P9
Eastern European,Poland,7,31/01/2007,B0BN1P9
Eastern European,Romania,2,31/01/2007,B0BN1P9
Eastern European,Russia,59,31/01/2007,B0BN1P9
Eastern European,Slovak Republic,1,31/01/2007,B0BN1P9
Eastern European,Slovenia,1,31/01/2007,B0BN1P9
Eastern European,Turkey,20,31/01/2007,B0BN1P9
Eastern European,Ukraine,2,31/01/2007,B0BN1P9
Eastern European,Cash & Fixed Interest,-8,31/01/2007,B0BN1P9
Eclectic,New Zealand,2,31/01/2007,341947
Eclectic,European Developed,2,31/01/2007,341947
Eclectic,UK,13,31/01/2007,341947
Eclectic,Australia,53,31/01/2007,341947
Eclectic,Far East & Pacific Region,2,31/01/2007,341947
Eclectic,USA,3,31/01/2007,341947
Eclectic,Cash & Fixed Interest,25,31/01/2007,341947
Eclipse VCT,Not reported,,,
Eclipse VCT 2,Not reported,,,
Eclipse VCT 3,Not reported,,,
Eclipse VCT 4,Not reported,,,
Ecofin Water & Power Opportunities,New Zealand,1,31/01/2007,3132643
Ecofin Water & Power Opportunities,Poland,1,31/01/2007,3132643
Ecofin Water & Power Opportunities,Russia,3,31/01/2007,3132643
Ecofin Water & Power Opportunities,Belgium,4,31/01/2007,3132643
Ecofin Water & Power Opportunities,Finland,2,31/01/2007,3132643
Ecofin Water & Power Opportunities,France,14,31/01/2007,3132643
Ecofin Water & Power Opportunities,Germany,4,31/01/2007,3132643
Ecofin Water & Power Opportunities,Ireland,7,31/01/2007,3132643
Ecofin Water & Power Opportunities,Italy,5,31/01/2007,3132643
Ecofin Water & Power Opportunities,Spain,6,31/01/2007,3132643
Ecofin Water & Power Opportunities,Switzerland,2,31/01/2007,3132643
Ecofin Water & Power Opportunities,UK,25,31/01/2007,3132643
Ecofin Water & Power Opportunities,Australia,1,31/01/2007,3132643
Ecofin Water & Power Opportunities,Hong Kong,0,31/01/2007,3132643
Ecofin Water & Power Opportunities,Japan,2,31/01/2007,3132643
Ecofin Water & Power Opportunities,Malaysia,2,31/01/2007,3132643
Ecofin Water & Power Opportunities,Brazil,1,31/01/2007,3132643
Ecofin Water & Power Opportunities,Canada,1,31/01/2007,3132643
Ecofin Water & Power Opportunities,USA,20,31/01/2007,3132643
Ecofin Water & Power Opportunities,Cash & Fixed Interest,-1,31/01/2007,3132643
Edinburgh Dragon,India,12,31/01/2007,294502
Edinburgh Dragon,Sri Lanka,1,31/01/2007,294502
Edinburgh Dragon,UK,1,31/01/2007,294502
Edinburgh Dragon,China,1,31/01/2007,294502
Edinburgh Dragon,Hong Kong,24,31/01/2007,294502
Edinburgh Dragon,Indonesia,2,31/01/2007,294502
Edinburgh Dragon,Malaysia,8,31/01/2007,294502
Edinburgh Dragon,Philippines,3,31/01/2007,294502
Edinburgh Dragon,Singapore,20,31/01/2007,294502
Edinburgh Dragon,South Korea,14,31/01/2007,294502
Edinburgh Dragon,Taiwan,8,31/01/2007,294502
Edinburgh Dragon,Thailand,5,31/01/2007,294502
Edinburgh Dragon,Cash & Fixed Interest,1,31/01/2007,294502
Edinburgh Investment,UK,97,31/01/2007,305233
Edinburgh Investment,Cash & Fixed Interest,3,31/01/2007,305233
Edinburgh New Income,UK,92,31/01/2007,B084LP5
Edinburgh New Income,Cash & Fixed Interest,8,31/01/2007,B084LP5
Edinburgh New Income Units,Not reported,,,
Edinburgh Small Companies,UK,98,31/01/2007,295958
Edinburgh Small Companies,Cash & Fixed Interest,2,31/01/2007,295958
Edinburgh US Tracker,USA,100,31/01/2007,29362
Edinburgh US Tracker,Cash & Fixed Interest,0,31/01/2007,29362
Edinburgh Worldwide,India,5,31/01/2007,291633
Edinburgh Worldwide,Russia,6,31/01/2007,291633
Edinburgh Worldwide,France,5,31/01/2007,291633
Edinburgh Worldwide,Germany,7,31/01/2007,291633
Edinburgh Worldwide,Sweden,11,31/01/2007,291633
Edinburgh Worldwide,Switzerland,2,31/01/2007,291633
Edinburgh Worldwide,UK,2,31/01/2007,291633
Edinburgh Worldwide,China,2,31/01/2007,291633
Edinburgh Worldwide,Japan,5,31/01/2007,291633
Edinburgh Worldwide,South Korea,3,31/01/2007,291633
Edinburgh Worldwide,Brazil,11,31/01/2007,291633
Edinburgh Worldwide,Israel,3,31/01/2007,291633
Edinburgh Worldwide,USA,33,31/01/2007,291633
Edinburgh Worldwide,Cash & Fixed Interest,5,31/01/2007,291633
Electra Kingsway VCT,Not reported,,,
Electra Kingsway VCT 2,Not reported,,,
Electra Kingsway VCT 3,Not reported,,,
Electric & General,South Africa,1,31/01/2007,309019
Electric & General,Belgium,1,31/01/2007,309019
Electric & General,France,10,31/01/2007,309019
Electric & General,Germany,8,31/01/2007,309019
Electric & General,Italy,2,31/01/2007,309019
Electric & General,Netherlands,1,31/01/2007,309019
Electric & General,Norway,3,31/01/2007,309019
Electric & General,Portugal,1,31/01/2007,309019
Electric & General,Sweden,2,31/01/2007,309019
Electric & General,Switzerland,4,31/01/2007,309019
Electric & General,UK,22,31/01/2007,309019
Electric & General,Australia,5,31/01/2007,309019
Electric & General,Hong Kong,4,31/01/2007,309019
Electric & General,Japan,8,31/01/2007,309019
